"V430NS
",NISSAN,Nv400,Diesel,2018,"€ 9.966,-",Niet geregistreerd,1827 kg,2299 cm³,96 kW (130 pk),201 g/km
"KD705G
",MERCEDES-BENZ,E 220 d,Diesel,2016,"€ 5.261,-",Sedan,1580 kg,1950 cm³,143 kW (194 pk),102 g/km
"34ZRGD
",OPEL,Zafira,Benzine,2008,"€ 7.407,-",Mpv,1470 kg,2198 cm³,110 kW (149 pk),197 g/km
"08XXDJ
",FORD,Fiesta,Benzine,2007,"€ 2.547,-",Hatchback,1023 kg,1299 cm³,51 kW (69 pk),144 g/km
"91FPBP
",OPEL,Astra-g-cc x16xel,Benzine,2000,"€ 3.908,-",Hatchback,1094 kg,1598 cm³,74 kW (101 pk),180 g/km
"8TGG82
",BMW,5er reihe,Diesel,2012,"€ 7.523,-",Stationwagen,1720 kg,1995 cm³,160 kW (217 pk),142 g/km
"ZGTH12
",MAZDA,323f 15,Benzine,1999,"€ 3.475,-",Hatchback,1050 kg,1498 cm³,65 kW (88 pk),185 g/km
"TG829D
",FORD,Focus,Benzine,2017,"€ 5.000,-",Stationwagen,1288 kg,1498 cm³,110 kW (149 pk),140 g/km
"45LKD5
",SUZUKI,Alto,Benzine,2010,Hatchback,830 kg,996 cm³,50 kW (68 pk),103 g/km
"77TPR2
",CITROEN,C5,Benzine,2012,"€ 7.468,-",Sedan,1490 kg,1598 cm³,115 kW (156 pk),169 g/km
"86BZFZ
",FORD,Transit connect 220l hr van 18td 55,Diesel,2006,"€ 6.602,-",Niet geregistreerd,1450 kg,1753 cm³,55 kW (75 pk),onbekend
"06JTHT
",FIAT,Punto 12,Benzine,2002,"€ 2.493,-",Hatchback,850 kg,1242 cm³,44 kW (60 pk),136 g/km
"79ZLZ6
",PEUGEOT,208,Benzine,2012,Hatchback,950 kg,1199 cm³,60 kW (82 pk),102 g/km
"27BKTL
",OPEL,Vivaro 19di 27t l1h1,Diesel,2003,Niet geregistreerd,1680 kg,1870 cm³,60 kW (82 pk),onbekend
"RL666Z
",PEUGEOT,3008,Benzine,2018,"€ 4.106,-",Mpv,1229 kg,1199 cm³,96 kW (130 pk),115 g/km
"87XKS5
",TOYOTA,Avensis,Diesel,2012,"€ 6.763,-",Mpv,1485 kg,1998 cm³,91 kW (124 pk),120 g/km
